path,split,category
drivingDataset/normalDay/nD_1.mp4,train,normalDay
drivingDataset/normalDay/nD_2.mp4,train,normalDay
drivingDataset/normalDay/nD_3.mp4,train,normalDay
drivingDataset/normalDay/nD_4.mp4,train,normalDay
drivingDataset/normalDay/nD_5.mp4,train,normalDay
drivingDataset/normalDay/nD_6.mp4,train,normalDay
drivingDataset/normalDay/nD_7.mp4,train,normalDay
drivingDataset/normalDay/nD_8.mp4,train,normalDay
drivingDataset/normalDay/nD_9.mp4,train,normalDay
drivingDataset/normalDay/nD_10.mp4,train,normalDay
drivingDataset/normalDay/nD_11.mp4,train,normalDay
drivingDataset/normalDay/nD_12.mp4,train,normalDay
drivingDataset/normalDay/nD_13.mp4,train,normalDay
drivingDataset/normalDay/nD_14.mp4,train,normalDay
drivingDataset/normalDay/nD_15.mp4,train,normalDay
drivingDataset/normalDay/nD_16.mp4,train,normalDay
drivingDataset/normalDay/nD_17.mp4,test,normalDay
drivingDataset/normalDay/nD_18.mp4,test,normalDay
drivingDataset/normalDay/ND_19.mp4,test,normalDay
drivingDataset/normalDay/nD_20.mp4,test,normalDay
drivingDataset/normalNight/nN_1.mp4,train,normalNight
drivingDataset/normalNight/nN_2.mp4,train,normalNight
drivingDataset/normalNight/nN_3.mp4,train,normalNight
drivingDataset/normalNight/nN_4.mp4,train,normalNight
drivingDataset/normalNight/nN_5.mp4,train,normalNight
drivingDataset/normalNight/nN_6.mp4,train,normalNight
drivingDataset/normalNight/nN_7.mp4,train,normalNight
drivingDataset/normalNight/nN_8.mp4,train,normalNight
drivingDataset/normalNight/nN_9.mp4,train,normalNight
drivingDataset/normalNight/nN_10.mp4,train,normalNight
drivingDataset/normalNight/nN_11.mp4,train,normalNight
drivingDataset/normalNight/nN_12.mp4,train,normalNight
drivingDataset/normalNight/nN_13.mp4,train,normalNight
drivingDataset/normalNight/nN_14.mp4,train,normalNight
drivingDataset/normalNight/nN_15.mp4,train,normalNight
drivingDataset/normalNight/nN_16.mp4,train,normalNight
drivingDataset/normalNight/nN_17.mp4,test,normalNight
drivingDataset/normalNight/nN_18.mp4,test,normalNight
drivingDataset/normalNight/nN_19.mp4,test,normalNight
drivingDataset/normalNight/nN_20.mp4,test,normalNight
drivingDataset/rainyDay/rD_1.mp4,train,rainyDay
drivingDataset/rainyDay/rD_2.mp4,train,rainyDay
drivingDataset/rainyDay/rD_3.mp4,train,rainyDay
drivingDataset/rainyDay/rD_4.mp4,train,rainyDay
drivingDataset/rainyDay/rD_5.mp4,train,rainyDay
drivingDataset/rainyDay/rD_6.mp4,train,rainyDay
drivingDataset/rainyDay/rD_7.mp4,train,rainyDay
drivingDataset/rainyDay/rD_8.mp4,train,rainyDay
drivingDataset/rainyDay/rD_9.mp4,train,rainyDay
drivingDataset/rainyDay/rD_10.mp4,train,rainyDay
drivingDataset/rainyDay/rD_11.mp4,train,rainyDay
drivingDataset/rainyDay/rD_12.mp4,train,rainyDay
drivingDataset/rainyDay/rD_13.mp4,train,rainyDay
drivingDataset/rainyDay/rD_14.mp4,train,rainyDay
drivingDataset/rainyDay/rD_15.mp4,train,rainyDay
drivingDataset/rainyDay/rD_16.mp4,train,rainyDay
drivingDataset/rainyDay/rD_17.mp4,test,rainyDay
drivingDataset/rainyDay/rD_18.mp4,test,rainyDay
drivingDataset/rainyDay/rD_19.mp4,test,rainyDay
drivingDataset/rainyDay/rD_20.mp4,test,rainyDay
